timestamp,temperature,humidity,heat_index,light,sound
2025-05-14 23:40:27,67.82,72.0,67.69,0,1118
2025-05-14 23:55:28,68.72,73.0,68.72,0,897
2025-05-15 00:10:29,68.54,73.0,68.53,0,726
2025-05-15 00:25:30,68.72,73.0,68.72,0,607
2025-05-15 00:40:31,68.72,74.0,68.77,0,510
2025-05-15 00:55:31,68.72,74.0,68.77,0,437
2025-05-15 01:10:32,68.54,75.0,68.62,0,382
2025-05-15 01:25:33,68.36,75.0,68.42,0,341
2025-05-15 01:40:33,68.9,74.0,68.97,0,311
2025-05-15 02:19:26,68.9,76.0,69.06,0,286
2025-05-15 02:34:26,68.54,77.0,68.71,0,271
2025-05-15 02:49:27,68.18,77.0,68.32,0,260
2025-05-15 03:04:28,68.0,78.0,68.17,0,245
2025-05-15 10:57:12,69.8,71.0,69.82,4,333
2025-05-15 11:12:13,69.8,75.0,70.01,89,417
2025-05-15 11:27:13,67.82,71.0,67.64,84,423
