timestamp,temperature,humidity,heat_index,light,sound
2025-05-14 00:22:20,63.86,75.0,63.47,0,0
2025-05-14 00:22:22,63.86,75.0,63.47,0,1348
2025-05-14 00:22:23,66.2,74.0,66.0,0,1348
2025-05-14 00:22:25,66.2,74.0,66.0,0,1346
2025-05-14 00:22:26,66.2,75.0,66.04,0,1345
2025-05-14 00:22:28,66.2,75.0,66.04,0,1347
2025-05-14 00:22:30,66.2,75.0,66.04,0,1347
2025-05-14 00:22:32,66.2,75.0,66.04,0,1348
2025-05-14 00:22:33,66.38,74.0,66.2,0,1348
2025-05-14 00:22:35,66.38,74.0,66.2,0,1344
2025-05-14 00:22:36,66.38,74.0,66.2,0,1343
2025-05-14 00:22:38,66.38,74.0,66.2,0,1344
2025-05-14 00:37:58,66.38,75.0,66.24,0,1076
2025-05-14 00:52:58,65.66,72.0,65.31,0,865
2025-05-14 01:07:59,65.3,73.0,64.96,0,712
2025-05-14 01:23:00,65.12,74.0,64.81,0,589
2025-05-14 01:38:01,65.12,74.0,64.81,0,498
2025-05-14 01:53:01,65.48,74.0,65.21,0,431
2025-05-14 02:08:03,65.48,74.0,65.21,0,380
2025-05-14 02:23:03,65.48,74.0,65.21,0,342
2025-05-14 02:38:04,65.48,74.0,65.21,0,311
2025-05-14 02:53:05,65.66,74.0,65.4,0,296
2025-05-14 03:08:06,65.48,74.0,65.21,0,278
2025-05-14 03:23:07,65.66,74.0,65.4,0,300
2025-05-14 03:38:07,65.66,75.0,65.45,0,314
2025-05-14 03:53:08,65.66,75.0,65.45,0,292
2025-05-14 04:08:10,65.48,75.0,65.25,0,276
2025-05-14 04:23:10,65.48,75.0,65.25,0,258
2025-05-14 04:38:11,65.48,75.0,65.25,0,255
2025-05-14 04:53:12,65.3,75.0,65.06,0,245
2025-05-14 05:08:13,65.3,75.0,65.06,0,240
2025-05-14 05:23:13,65.12,75.0,64.86,0,237
2025-05-14 05:38:15,65.12,76.0,64.9,0,305
2025-05-14 05:53:15,65.12,76.0,64.9,0,285
2025-05-14 06:08:16,65.12,76.0,64.9,0,331
2025-05-14 06:23:18,64.76,76.0,64.51,0,303
2025-05-14 06:38:19,64.76,76.0,64.51,0,284
2025-05-14 06:53:23,64.58,76.0,64.31,0,269
2025-05-14 07:08:23,64.76,76.0,64.51,0,260
2025-05-14 07:23:24,64.58,76.0,64.31,0,249
2025-05-14 07:38:25,64.76,76.0,64.51,0,242
2025-05-14 07:53:25,64.58,76.0,64.31,0,234
2025-05-14 08:08:26,64.94,76.0,64.71,0,242
2025-05-14 08:23:27,64.94,76.0,64.71,0,237
2025-05-14 08:38:27,64.94,76.0,64.71,0,303
