timestamp,sleep_event
2025-05-02 16:17:00,SOUND
2025-05-02 16:17:11,LIGHT
2025-05-02 16:17:16,LIGHT
2025-05-02 16:17:28,MOVEMENT
2025-05-02 16:38:49,SOUND
2025-05-02 16:38:55,LIGHT
2025-05-02 16:38:58,LIGHT
2025-05-02 16:39:08,MOVEMENT
2025-05-02 16:40:32,SOUND
2025-05-02 16:42:40,SOUND
2025-05-02 16:42:44,SOUND
2025-05-02 16:42:50,SOUND
2025-05-02 16:42:54,SOUND
2025-05-02 16:44:37,SOUND
2025-05-02 16:48:20,MOVEMENT
2025-05-02 16:48:25,MOVEMENT
2025-05-02 16:48:42,MOVEMENT
2025-05-02 16:48:53,SOUND
2025-05-02 16:55:26,SOUND
2025-05-02 16:56:15,SOUND
2025-05-02 16:56:53,SOUND
2025-05-02 16:58:40,SOUND
2025-05-02 16:59:01,SOUND
2025-05-02 16:59:15,SOUND
2025-05-02 17:00:29,SOUND
2025-05-02 17:00:34,SOUND
2025-05-02 17:00:43,SOUND
2025-05-02 17:00:54,SOUND
2025-05-02 17:00:59,SOUND
2025-05-02 17:01:07,SOUND
2025-05-02 17:01:17,SOUND
2025-05-02 17:01:43,SOUND
2025-05-02 17:02:38,SOUND
2025-05-02 17:02:43,SOUND
2025-05-02 17:03:39,SOUND
2025-05-02 17:04:50,SOUND
2025-05-02 17:06:29,SOUND
2025-05-02 17:08:57,SOUND
2025-05-02 17:09:06,LIGHT
2025-05-02 17:09:10,LIGHT
