timestamp,sleep_event
2025-05-20 23:02:42,SOUND
2025-05-20 23:02:55,LIGHT
2025-05-20 23:02:59,LIGHT
2025-05-20 23:03:02,LIGHT
2025-05-20 23:05:08,SOUND
2025-05-20 23:05:46,SOUND
2025-05-20 23:06:15,SOUND
2025-05-20 23:06:46,SOUND
2025-05-20 23:13:01,SOUND
2025-05-20 23:13:44,SOUND
2025-05-20 23:14:44,SOUND
2025-05-20 23:21:35,SOUND
2025-05-20 23:27:10,SOUND
2025-05-20 23:45:24,SOUND
2025-05-20 23:52:47,SOUND
2025-05-20 23:58:18,SOUND
2025-05-21 00:00:15,SOUND
2025-05-21 00:04:02,SOUND
2025-05-21 00:06:58,SOUND
2025-05-21 00:12:45,SOUND
2025-05-21 00:16:47,SOUND
2025-05-21 00:17:28,SOUND
2025-05-21 00:18:22,SOUND
2025-05-21 00:23:24,SOUND
2025-05-21 00:31:21,SOUND
2025-05-21 00:59:56,SOUND
2025-05-21 01:09:35,SOUND
2025-05-21 01:10:22,SOUND
2025-05-21 01:14:37,SOUND
2025-05-21 01:18:24,SOUND
2025-05-21 01:18:31,SOUND
2025-05-21 01:19:57,SOUND
2025-05-21 01:20:40,SOUND
2025-05-21 01:21:59,SOUND
2025-05-21 01:22:14,SOUND
2025-05-21 01:22:41,SOUND
2025-05-21 01:22:58,SOUND
2025-05-21 01:23:43,SOUND
2025-05-21 01:23:49,SOUND
2025-05-21 01:24:53,SOUND
2025-05-21 01:25:18,SOUND
2025-05-21 01:25:27,SOUND
2025-05-21 01:25:44,SOUND
2025-05-21 01:26:04,SOUND
2025-05-21 01:26:13,SOUND
2025-05-21 01:26:31,SOUND
2025-05-21 01:26:42,SOUND
2025-05-21 01:26:56,SOUND
2025-05-21 01:27:02,SOUND
2025-05-21 01:27:28,SOUND
2025-05-21 01:27:38,SOUND
2025-05-21 01:27:43,SOUND
2025-05-21 01:28:12,SOUND
2025-05-21 01:28:38,SOUND
2025-05-21 01:28:50,SOUND
2025-05-21 01:29:04,SOUND
2025-05-21 01:29:19,SOUND
2025-05-21 01:29:28,SOUND
2025-05-21 01:30:27,SOUND
2025-05-21 01:30:33,SOUND
2025-05-21 01:30:41,SOUND
2025-05-21 01:31:07,SOUND
2025-05-21 01:31:11,SOUND
2025-05-21 01:31:18,SOUND
2025-05-21 01:31:26,SOUND
2025-05-21 01:31:43,SOUND
2025-05-21 01:32:06,SOUND
2025-05-21 01:32:15,SOUND
2025-05-21 01:32:28,SOUND
2025-05-21 01:32:32,SOUND
2025-05-21 01:32:49,SOUND
2025-05-21 01:33:06,SOUND
2025-05-21 01:33:19,SOUND
2025-05-21 01:34:20,SOUND
2025-05-21 01:34:30,SOUND
2025-05-21 01:34:54,SOUND
2025-05-21 01:35:22,SOUND
2025-05-21 01:35:33,SOUND
2025-05-21 01:35:55,SOUND
2025-05-21 01:36:04,SOUND
2025-05-21 01:37:42,SOUND
2025-05-21 01:37:48,SOUND
2025-05-21 01:38:33,SOUND
2025-05-21 01:39:57,SOUND
2025-05-21 01:40:04,SOUND
2025-05-21 01:40:25,SOUND
2025-05-21 01:47:35,SOUND
2025-05-21 02:17:59,SOUND
2025-05-21 02:56:47,SOUND
2025-05-21 03:07:18,SOUND
2025-05-21 03:10:44,SOUND
2025-05-21 03:10:48,SOUND
2025-05-21 03:10:54,SOUND
2025-05-21 03:11:37,SOUND
2025-05-21 03:11:45,SOUND
2025-05-21 03:12:38,SOUND
2025-05-21 03:19:05,SOUND
2025-05-21 03:19:41,SOUND
2025-05-21 03:20:53,SOUND
2025-05-21 03:23:07,SOUND
2025-05-21 03:32:03,SOUND
2025-05-21 03:33:12,SOUND
2025-05-21 03:40:02,SOUND
2025-05-21 03:41:51,SOUND
2025-05-21 03:42:21,SOUND
2025-05-21 03:50:54,SOUND
2025-05-21 04:00:22,SOUND
2025-05-21 04:14:29,SOUND
2025-05-21 04:20:09,SOUND
2025-05-21 04:22:32,SOUND
2025-05-21 04:24:14,SOUND
2025-05-21 04:37:03,SOUND
2025-05-21 04:38:30,SOUND
2025-05-21 04:43:23,SOUND
2025-05-21 04:52:36,SOUND
2025-05-21 04:58:20,SOUND
2025-05-21 04:59:25,SOUND
2025-05-21 05:06:41,SOUND
2025-05-21 05:07:03,SOUND
2025-05-21 05:09:45,SOUND
2025-05-21 05:16:18,SOUND
2025-05-21 05:42:08,SOUND
2025-05-21 05:48:03,SOUND
2025-05-21 05:57:05,SOUND
2025-05-21 05:59:06,SOUND
2025-05-21 06:19:20,SOUND
2025-05-21 06:25:14,SOUND
2025-05-21 06:36:09,SOUND
2025-05-21 06:37:02,SOUND
2025-05-21 06:45:03,SOUND
2025-05-21 07:03:17,SOUND
2025-05-21 07:07:24,SOUND
2025-05-21 07:17:42,SOUND
2025-05-21 07:24:00,SOUND
2025-05-21 07:28:41,SOUND
2025-05-21 07:37:09,SOUND
2025-05-21 07:39:58,SOUND
2025-05-21 07:49:18,SOUND
2025-05-21 08:02:07,SOUND
2025-05-21 08:04:11,SOUND
2025-05-21 08:05:45,SOUND
2025-05-21 08:17:57,SOUND
2025-05-21 08:19:12,SOUND
2025-05-21 08:25:35,SOUND
2025-05-21 08:28:17,SOUND
2025-05-21 08:30:01,SOUND
2025-05-21 08:33:11,SOUND
2025-05-21 08:33:43,SOUND
2025-05-21 08:34:08,SOUND
2025-05-21 08:42:08,SOUND
2025-05-21 08:47:31,SOUND
2025-05-21 08:51:39,SOUND
2025-05-21 08:53:03,SOUND
2025-05-21 14:23:51,SOUND
2025-05-21 14:24:14,SOUND
2025-05-21 14:25:53,SOUND
2025-05-21 14:26:03,SOUND
2025-05-21 14:26:20,SOUND
