timestamp,sleep_event
2025-05-18 00:02:06,LIGHT
2025-05-18 00:02:10,SOUND
2025-05-18 00:02:17,MOVEMENT
2025-05-18 00:07:42,SOUND
2025-05-18 00:07:50,MOVEMENT
2025-05-18 00:08:06,MOVEMENT
2025-05-18 00:11:10,SOUND
2025-05-18 00:16:19,SOUND
2025-05-18 00:16:41,SOUND
2025-05-18 09:03:19,SOUND
2025-05-18 09:03:34,SOUND
2025-05-18 10:26:23,SOUND
2025-05-18 10:32:41,SOUND
2025-05-18 10:34:52,SOUND
2025-05-18 10:38:07,SOUND
2025-05-18 10:46:07,SOUND
2025-05-18 10:49:32,MOVEMENT
2025-05-18 10:49:34,LIGHT
