timestamp,temperature,humidity,heat_index,light,sound
2025-05-08 19:01:59,75.02,74.0,75.7,0,0
2025-05-08 19:02:00,75.02,74.0,75.7,327,1344
2025-05-08 19:02:04,75.02,71.0,75.56,0,0
2025-05-08 19:02:05,75.02,71.0,75.56,326,1342
2025-05-08 19:02:06,75.2,71.0,75.76,326,1343
2025-05-08 19:02:08,75.2,71.0,75.76,330,1343
2025-05-08 19:02:10,75.2,71.0,75.76,332,1342
2025-05-08 19:02:11,75.2,71.0,75.76,331,1343
2025-05-08 19:02:12,75.2,71.0,75.76,333,1341
2025-05-08 19:02:14,75.2,71.0,75.76,332,1343
2025-05-08 19:02:16,75.2,71.0,75.76,332,1338
2025-05-08 19:02:17,75.2,71.0,75.76,330,1340
2025-05-08 19:02:18,75.2,71.0,75.76,332,1342
2025-05-08 19:02:19,75.2,71.0,75.76,332,1343
2025-05-08 19:02:20,75.2,72.0,75.8,328,1338
2025-05-08 19:02:22,75.2,72.0,75.8,326,1343
2025-05-08 19:02:23,75.38,72.0,76.0,322,1338
2025-05-08 19:02:25,75.38,72.0,76.0,324,1341
2025-05-08 19:02:26,75.2,72.0,75.8,325,1339
2025-05-08 19:02:28,75.2,72.0,75.8,327,1340
2025-05-08 19:02:29,75.2,72.0,75.8,328,1335
2025-05-08 19:02:30,75.2,72.0,75.8,332,1336
2025-05-08 19:02:31,75.2,73.0,75.85,332,1339
2025-05-08 19:02:32,75.2,73.0,75.85,332,1341
2025-05-08 19:02:34,75.2,73.0,75.85,331,1334
2025-05-08 19:02:35,75.2,73.0,75.85,304,1340
2025-05-08 19:02:36,75.2,73.0,75.85,291,1338
2025-05-08 21:18:03,74.48,72.0,75.01,0,673
2025-05-08 21:33:04,74.12,76.0,74.8,0,649
2025-05-08 21:48:05,74.12,72.0,74.62,482,552
2025-05-08 22:03:05,73.58,77.0,74.26,475,497
2025-05-08 22:18:05,73.4,77.0,74.06,465,426
2025-05-08 22:33:06,74.12,78.0,74.9,459,388
2025-05-08 22:48:07,74.48,80.0,75.39,477,432
2025-05-08 23:03:07,74.66,81.0,75.63,469,407
2025-05-08 23:18:07,75.02,85.0,76.22,461,357
2025-05-08 23:33:08,74.66,84.0,75.77,474,343
2025-05-08 23:48:08,74.48,83.0,75.53,475,371
2025-05-09 00:03:09,74.84,83.0,75.92,458,360
2025-05-09 00:18:09,73.76,81.0,74.64,460,323
2025-05-09 00:33:09,73.04,76.0,73.62,456,408
2025-05-09 00:48:10,71.78,78.0,72.32,0,371
2025-05-09 01:03:10,72.5,79.0,73.16,0,330
2025-05-09 01:18:11,72.5,80.0,73.21,0,304
