timestamp,sleep_event
2025-05-07 22:24:32,SOUND
2025-05-07 22:24:50,LIGHT
2025-05-07 22:24:53,MOVEMENT
2025-05-07 22:24:54,LIGHT
2025-05-07 22:25:00,MOVEMENT
2025-05-07 22:25:41,SOUND
2025-05-07 22:36:00,LIGHT
2025-05-07 22:40:41,SOUND
2025-05-07 22:56:23,SOUND
2025-05-07 23:07:34,SOUND
2025-05-07 23:07:57,SOUND
2025-05-07 23:08:30,LIGHT
2025-05-07 23:10:59,SOUND
2025-05-08 00:29:35,SOUND
2025-05-08 00:30:15,SOUND
2025-05-08 01:24:15,SOUND
2025-05-08 03:43:45,SOUND
2025-05-08 04:25:19,MOVEMENT
2025-05-08 04:25:28,MOVEMENT
2025-05-08 04:25:32,MOVEMENT
2025-05-08 04:25:40,MOVEMENT
2025-05-08 04:25:45,MOVEMENT
2025-05-08 04:25:49,MOVEMENT
2025-05-08 04:25:53,MOVEMENT
2025-05-08 04:46:21,SOUND
2025-05-08 08:12:44,SOUND
2025-05-08 11:48:55,LIGHT
2025-05-08 11:49:06,LIGHT
