timestamp,sleep_event
2025-05-24 20:35:31,LIGHT
2025-05-24 20:36:25,MOVEMENT
2025-05-24 20:38:21,LIGHT
2025-05-24 20:38:24,LIGHT
2025-05-24 20:38:29,SOUND
2025-05-24 20:38:39,MOVEMENT
2025-05-24 20:44:07,SOUND
2025-05-24 20:47:55,SOUND
2025-05-24 20:47:59,SOUND
2025-05-24 20:48:56,LIGHT
2025-05-24 20:49:00,LIGHT
2025-05-24 20:49:09,LIGHT
2025-05-24 20:50:27,SOUND
2025-05-24 21:18:20,SOUND
2025-05-24 21:29:11,SOUND
2025-05-24 21:29:21,SOUND
2025-05-24 21:50:15,SOUND
2025-05-24 21:58:17,LIGHT
2025-05-24 21:58:20,LIGHT
2025-05-24 21:58:22,MOVEMENT
2025-05-24 21:58:24,LIGHT
2025-05-24 21:58:26,MOVEMENT
2025-05-24 21:58:28,SOUND
2025-05-24 21:58:29,MOVEMENT
2025-05-24 22:05:25,SOUND
2025-05-24 22:05:50,LIGHT
2025-05-24 22:06:58,LIGHT
2025-05-24 22:07:46,SOUND
2025-05-24 22:08:19,SOUND
2025-05-24 22:08:19,LIGHT
2025-05-24 22:08:23,SOUND
2025-05-24 22:08:29,SOUND
2025-05-24 22:08:34,SOUND
2025-05-24 22:09:15,LIGHT
2025-05-24 22:09:20,LIGHT
2025-05-24 22:09:34,LIGHT
2025-05-24 22:10:26,SOUND
2025-05-24 22:10:32,SOUND
2025-05-24 22:12:13,SOUND
2025-05-24 22:13:35,SOUND
2025-05-24 22:13:38,LIGHT
2025-05-24 22:13:44,SOUND
2025-05-24 22:13:47,SOUND
2025-05-24 22:14:08,SOUND
2025-05-24 22:14:12,LIGHT
2025-05-24 22:14:21,SOUND
2025-05-24 22:14:39,SOUND
2025-05-24 22:14:46,SOUND
2025-05-24 22:14:53,SOUND
2025-05-24 22:14:57,LIGHT
2025-05-24 22:15:03,SOUND
2025-05-24 22:15:57,SOUND
2025-05-24 22:16:48,SOUND
2025-05-24 22:17:12,SOUND
2025-05-24 22:17:27,SOUND
2025-05-24 22:17:35,SOUND
2025-05-24 22:17:43,SOUND
2025-05-24 22:17:48,SOUND
2025-05-24 22:17:54,SOUND
2025-05-24 22:17:59,SOUND
2025-05-24 22:18:12,SOUND
2025-05-24 22:18:21,SOUND
2025-05-24 22:18:25,SOUND
2025-05-24 22:18:32,SOUND
2025-05-24 22:18:36,SOUND
2025-05-24 22:18:54,SOUND
2025-05-24 22:19:10,SOUND
