timestamp,sleep_event
2025-05-10 18:19:17,LIGHT
2025-05-10 18:19:21,LIGHT
2025-05-10 18:19:26,LIGHT
2025-05-10 18:19:30,SOUND
2025-05-10 18:24:58,LIGHT
2025-05-10 18:25:02,LIGHT
2025-05-10 18:25:12,LIGHT
2025-05-10 18:25:14,SOUND
2025-05-10 18:26:15,LIGHT
2025-05-10 18:26:19,LIGHT
2025-05-10 18:26:24,LIGHT
2025-05-10 18:26:25,SOUND
2025-05-10 18:49:10,SOUND
2025-05-10 18:49:21,SOUND
2025-05-10 22:41:42,SOUND
2025-05-10 22:45:38,SOUND
2025-05-10 22:46:14,SOUND
2025-05-10 22:46:32,SOUND
2025-05-10 22:46:33,MOVEMENT
2025-05-10 22:48:36,SOUND
2025-05-10 23:06:04,SOUND
2025-05-10 23:13:09,SOUND
2025-05-10 23:32:02,SOUND
2025-05-10 23:45:07,SOUND
2025-05-10 23:47:24,SOUND
2025-05-10 23:47:29,SOUND
2025-05-10 23:47:34,SOUND
2025-05-10 23:47:50,SOUND
2025-05-10 23:55:44,SOUND
2025-05-11 00:02:04,SOUND
2025-05-11 00:02:49,SOUND
2025-05-11 00:07:18,SOUND
2025-05-11 00:37:24,SOUND
2025-05-11 01:27:33,SOUND
2025-05-11 07:29:09,MOVEMENT
2025-05-11 13:04:46,SOUND
2025-05-11 13:04:51,LIGHT
2025-05-11 13:04:53,SOUND
2025-05-11 13:04:55,LIGHT
2025-05-11 13:08:53,SOUND
2025-05-11 13:10:28,SOUND
2025-05-11 13:10:44,SOUND
2025-05-11 13:11:25,SOUND
2025-05-11 13:11:33,SOUND
2025-05-11 13:11:56,SOUND
2025-05-11 13:12:21,SOUND
2025-05-11 13:14:29,SOUND
2025-05-11 13:14:38,SOUND
2025-05-11 13:14:49,SOUND
2025-05-11 13:16:43,LIGHT
2025-05-11 13:16:47,LIGHT
2025-05-11 13:20:34,SOUND
2025-05-11 13:21:13,SOUND
2025-05-11 13:21:24,SOUND
2025-05-11 13:22:16,SOUND
2025-05-11 13:23:34,SOUND
2025-05-11 13:24:30,SOUND
2025-05-11 13:27:59,SOUND
2025-05-11 13:28:38,LIGHT
2025-05-11 13:31:02,SOUND
2025-05-11 13:34:25,SOUND
2025-05-11 13:49:19,SOUND
2025-05-11 13:49:58,SOUND
2025-05-11 14:29:32,SOUND
2025-05-11 14:39:01,SOUND
2025-05-11 14:45:10,SOUND
2025-05-11 14:56:18,SOUND
2025-05-11 14:57:23,SOUND
2025-05-11 15:40:29,SOUND
2025-05-11 15:40:49,SOUND
2025-05-11 15:45:01,SOUND
2025-05-11 15:57:55,SOUND
2025-05-11 15:58:08,SOUND
2025-05-11 15:58:12,SOUND
2025-05-11 16:08:45,SOUND
2025-05-11 16:08:46,LIGHT
2025-05-11 16:09:03,SOUND
2025-05-11 16:09:09,LIGHT
2025-05-11 16:09:12,SOUND
2025-05-11 16:09:18,SOUND
2025-05-11 16:09:25,SOUND
2025-05-11 16:09:32,SOUND
2025-05-11 16:09:45,SOUND
2025-05-11 16:09:49,SOUND
2025-05-11 16:09:53,SOUND
2025-05-11 16:09:59,SOUND
2025-05-11 16:10:07,SOUND
2025-05-11 16:10:16,SOUND
2025-05-11 16:10:24,SOUND
2025-05-11 16:10:31,SOUND
2025-05-11 16:10:56,SOUND
2025-05-11 16:11:00,SOUND
2025-05-11 16:11:07,SOUND
2025-05-11 16:11:10,SOUND
2025-05-11 16:11:17,SOUND
2025-05-11 16:11:21,SOUND
2025-05-11 16:11:26,SOUND
2025-05-11 16:11:30,SOUND
2025-05-11 16:11:38,SOUND
2025-05-11 16:11:42,SOUND
2025-05-11 16:12:00,SOUND
2025-05-11 16:12:13,SOUND
2025-05-11 16:12:24,SOUND
2025-05-11 16:12:33,SOUND
2025-05-11 16:12:36,LIGHT
2025-05-11 16:12:45,SOUND
2025-05-11 16:13:04,SOUND
2025-05-11 16:13:13,SOUND
2025-05-11 16:13:24,SOUND
2025-05-11 16:13:30,SOUND
2025-05-11 16:13:34,SOUND
2025-05-11 16:13:42,SOUND
2025-05-11 16:13:48,SOUND
2025-05-11 16:13:57,SOUND
2025-05-11 16:14:06,SOUND
2025-05-11 16:14:14,SOUND
2025-05-11 16:14:18,SOUND
2025-05-11 16:14:22,SOUND
2025-05-11 16:14:27,SOUND
2025-05-11 16:14:44,SOUND
2025-05-11 16:14:52,SOUND
2025-05-11 16:14:59,SOUND
2025-05-11 16:15:11,SOUND
2025-05-11 16:15:15,SOUND
2025-05-11 16:15:20,SOUND
2025-05-11 16:15:27,SOUND
2025-05-11 16:15:31,SOUND
2025-05-11 16:15:38,SOUND
2025-05-11 16:15:44,SOUND
2025-05-11 16:15:52,SOUND
2025-05-11 16:15:59,SOUND
2025-05-11 16:16:04,SOUND
2025-05-11 16:16:09,SOUND
2025-05-11 16:16:15,SOUND
2025-05-11 16:16:20,SOUND
2025-05-11 16:16:36,SOUND
2025-05-11 16:16:52,SOUND
2025-05-11 16:16:56,SOUND
2025-05-11 16:17:07,SOUND
2025-05-11 16:17:16,SOUND
2025-05-11 16:17:24,SOUND
2025-05-11 16:17:29,SOUND
2025-05-11 16:17:33,SOUND
2025-05-11 16:17:39,SOUND
2025-05-11 16:17:45,SOUND
2025-05-11 16:17:51,SOUND
2025-05-11 16:17:55,SOUND
