timestamp,sleep_event
2025-05-15 23:50:27,SOUND
2025-05-15 23:50:37,SOUND
2025-05-15 23:50:39,MOVEMENT
2025-05-15 23:50:46,MOVEMENT
2025-05-15 23:50:57,MOVEMENT
2025-05-15 23:52:07,MOVEMENT
2025-05-15 23:52:11,MOVEMENT
2025-05-16 00:08:56,SOUND
2025-05-16 02:08:17,SOUND
2025-05-16 04:19:17,SOUND
2025-05-16 05:03:16,SOUND
2025-05-16 09:16:08,SOUND
2025-05-16 12:21:13,SOUND
2025-05-16 13:20:09,SOUND
2025-05-16 13:20:17,SOUND
2025-05-16 13:22:38,LIGHT
2025-05-16 13:23:02,SOUND
2025-05-16 13:28:51,LIGHT
2025-05-16 13:28:53,SOUND
2025-05-16 14:01:45,LIGHT
2025-05-16 14:39:22,LIGHT
2025-05-16 14:39:34,SOUND
2025-05-16 15:05:21,LIGHT
2025-05-16 15:05:30,LIGHT
2025-05-16 15:06:06,LIGHT
2025-05-16 15:13:32,LIGHT
