timestamp,sleep_event
2025-05-06 21:23:14,SOUND
2025-05-06 21:23:25,SOUND
2025-05-06 21:24:14,MOVEMENT
2025-05-06 21:26:48,SOUND
2025-05-06 21:28:04,SOUND
2025-05-06 21:28:44,SOUND
2025-05-06 21:29:12,LIGHT
2025-05-06 21:31:26,LIGHT
2025-05-06 21:33:26,MOVEMENT
2025-05-06 21:37:02,LIGHT
2025-05-06 21:37:05,LIGHT
2025-05-06 21:37:12,LIGHT
2025-05-06 21:50:55,SOUND
2025-05-06 21:52:53,MOVEMENT
2025-05-06 21:54:19,MOVEMENT
2025-05-06 21:57:40,SOUND
2025-05-06 21:58:04,MOVEMENT
2025-05-06 21:58:09,SOUND
2025-05-06 21:59:31,MOVEMENT
2025-05-06 22:00:35,MOVEMENT
2025-05-06 22:02:54,SOUND
2025-05-06 22:07:46,SOUND
2025-05-06 22:08:08,SOUND
2025-05-06 22:10:01,MOVEMENT
2025-05-06 22:10:14,MOVEMENT
2025-05-06 22:12:07,SOUND
2025-05-06 22:12:52,MOVEMENT
2025-05-06 22:13:21,SOUND
2025-05-06 22:13:25,MOVEMENT
2025-05-06 22:14:45,SOUND
2025-05-06 22:15:47,SOUND
2025-05-06 22:16:00,SOUND
2025-05-06 22:16:09,SOUND
2025-05-06 22:16:18,SOUND
2025-05-06 22:16:27,SOUND
2025-05-06 22:16:52,SOUND
2025-05-06 22:16:56,SOUND
2025-05-06 22:17:17,SOUND
2025-05-06 22:17:28,SOUND
2025-05-06 22:17:36,SOUND
2025-05-06 22:17:42,SOUND
2025-05-06 22:17:52,SOUND
2025-05-06 22:17:57,SOUND
2025-05-06 22:18:06,SOUND
2025-05-06 22:18:33,SOUND
2025-05-06 22:18:43,SOUND
2025-05-06 22:18:48,SOUND
2025-05-06 22:19:13,SOUND
2025-05-06 22:19:17,SOUND
2025-05-06 22:19:24,SOUND
2025-05-06 22:19:27,SOUND
2025-05-06 22:19:49,SOUND
2025-05-06 22:20:23,SOUND
2025-05-06 22:20:42,SOUND
2025-05-06 22:20:53,SOUND
2025-05-06 22:21:23,SOUND
2025-05-06 22:21:59,SOUND
2025-05-06 22:22:31,SOUND
2025-05-06 22:22:43,SOUND
2025-05-06 22:22:47,SOUND
2025-05-06 22:22:56,SOUND
2025-05-06 22:23:02,SOUND
2025-05-06 22:23:05,SOUND
2025-05-06 22:23:10,SOUND
2025-05-06 22:23:19,SOUND
2025-05-06 22:23:34,SOUND
2025-05-06 22:23:46,SOUND
2025-05-06 22:23:50,SOUND
2025-05-06 22:24:01,SOUND
2025-05-06 22:24:27,SOUND
2025-05-06 22:24:32,SOUND
2025-05-06 22:24:46,SOUND
2025-05-06 22:24:51,SOUND
2025-05-06 22:25:00,SOUND
2025-05-06 22:25:21,SOUND
2025-05-06 22:25:35,SOUND
2025-05-06 22:25:41,SOUND
2025-05-06 22:25:47,MOVEMENT
2025-05-06 22:25:58,SOUND
2025-05-06 22:26:13,SOUND
2025-05-06 22:26:22,SOUND
2025-05-06 22:26:39,SOUND
2025-05-06 22:26:43,SOUND
2025-05-06 22:26:50,SOUND
2025-05-06 22:27:52,SOUND
2025-05-06 22:29:34,SOUND
2025-05-06 22:29:40,LIGHT
2025-05-06 22:29:46,SOUND
2025-05-06 22:31:42,SOUND
2025-05-06 22:34:10,SOUND
2025-05-06 22:34:32,SOUND
2025-05-06 22:47:44,SOUND
2025-05-06 22:51:41,SOUND
2025-05-06 23:09:13,SOUND
2025-05-06 23:31:11,MOVEMENT
2025-05-06 23:31:12,SOUND
2025-05-06 23:36:46,SOUND
2025-05-07 00:16:25,SOUND
2025-05-07 05:21:33,SOUND
2025-05-07 08:00:05,SOUND
2025-05-07 08:38:11,SOUND
2025-05-07 08:38:24,MOVEMENT
