timestamp,temperature,humidity,heat_index,light,sound
2025-05-05 22:53:29,64.58,81.0,64.55,0,871
2025-05-05 23:08:29,67.64,73.0,67.53,0,712
2025-05-05 23:23:30,66.38,76.0,66.29,0,599
2025-05-05 23:38:30,66.2,77.0,66.14,0,508
2025-05-05 23:53:31,66.02,78.0,65.99,0,430
2025-05-06 00:08:32,66.02,78.0,65.99,0,376
2025-05-06 00:23:33,65.84,79.0,65.84,0,337
2025-05-06 00:38:34,65.84,79.0,65.84,0,304
2025-05-06 00:53:35,65.66,79.0,65.64,0,287
2025-05-06 01:08:36,65.84,79.0,65.84,0,269
2025-05-06 01:23:36,65.66,79.0,65.64,0,258
2025-05-06 01:38:37,65.66,79.0,65.64,0,243
2025-05-06 01:53:37,65.84,79.0,65.84,0,238
2025-05-06 02:08:38,65.66,79.0,65.64,0,233
2025-05-06 02:23:38,65.66,79.0,65.64,0,231
2025-05-06 02:38:38,65.66,80.0,65.69,0,226
2025-05-06 02:53:39,65.84,80.0,65.88,0,221
2025-05-06 03:08:40,65.66,81.0,65.73,0,222
2025-05-06 03:23:41,65.66,80.0,65.69,0,219
2025-05-06 03:38:41,65.66,80.0,65.69,0,220
2025-05-06 03:53:42,65.48,80.0,65.49,0,223
2025-05-06 04:08:43,65.12,80.0,65.09,0,219
2025-05-06 04:23:43,65.3,80.0,65.29,0,215
2025-05-06 04:38:44,65.3,80.0,65.29,0,216
2025-05-06 04:53:44,65.12,80.0,65.09,0,217
2025-05-06 05:08:45,64.94,80.0,64.89,0,220
2025-05-06 05:23:46,65.12,81.0,65.14,0,219
2025-05-06 05:38:47,64.94,80.0,64.89,0,216
2025-05-06 05:53:47,65.48,80.0,65.49,0,218
2025-05-06 06:08:48,64.94,80.0,64.89,0,216
2025-05-06 06:23:49,64.94,79.0,64.85,0,214
2025-05-06 06:38:50,64.76,79.0,64.65,0,215
2025-05-06 06:53:50,64.76,79.0,64.65,0,218
2025-05-06 07:08:51,64.58,79.0,64.45,0,217
2025-05-06 07:23:52,64.76,79.0,64.65,0,217
2025-05-06 07:38:52,64.76,79.0,64.65,0,213
2025-05-06 07:53:53,64.76,79.0,64.65,0,213
2025-05-06 08:08:53,64.94,80.0,64.89,0,215
2025-05-06 08:23:54,65.12,80.0,65.09,0,216
2025-05-06 08:38:56,64.94,80.0,64.89,0,218
2025-05-06 08:53:57,65.48,80.0,65.49,0,214
2025-05-06 09:08:58,65.66,79.0,65.64,0,212
2025-05-06 09:23:59,65.84,79.0,65.84,0,214
2025-05-06 09:39:00,65.84,79.0,65.84,0,215
2025-05-06 09:54:01,66.92,77.0,66.93,40,585
2025-05-06 10:09:01,67.82,76.0,67.87,58,632
2025-05-06 10:24:02,68.72,72.0,68.68,21,666
2025-05-06 10:39:02,69.98,73.0,70.11,28,699
2025-05-06 10:54:03,70.34,70.0,70.36,47,597
2025-05-06 11:09:03,70.52,67.0,70.42,61,580
2025-05-06 11:24:03,70.52,67.0,70.42,69,546
2025-05-06 11:39:03,71.24,67.0,71.21,55,460
2025-05-06 11:54:03,71.42,66.0,71.36,55,434
