timestamp,sleep_event
2025-05-05 22:24:17,SOUND
2025-05-05 22:25:19,SOUND
2025-05-05 22:35:09,SOUND
2025-05-05 22:35:14,SOUND
2025-05-05 22:35:19,SOUND
2025-05-05 22:35:20,LIGHT
2025-05-05 22:35:23,LIGHT
2025-05-05 22:35:28,SOUND
2025-05-05 22:37:23,MOVEMENT
2025-05-05 22:37:26,MOVEMENT
2025-05-05 22:37:34,MOVEMENT
2025-05-05 22:37:43,MOVEMENT
2025-05-05 22:38:27,SOUND
2025-05-05 22:38:37,SOUND
2025-05-05 22:40:35,SOUND
2025-05-05 22:41:12,SOUND
2025-05-05 22:43:46,SOUND
2025-05-05 22:45:53,SOUND
2025-05-05 22:50:10,SOUND
2025-05-05 23:03:19,SOUND
2025-05-05 23:04:19,SOUND
2025-05-05 23:14:10,SOUND
2025-05-05 23:17:41,SOUND
2025-05-06 09:45:09,SOUND
2025-05-06 09:49:45,SOUND
2025-05-06 09:50:11,SOUND
2025-05-06 09:52:53,SOUND
2025-05-06 09:53:55,SOUND
2025-05-06 09:54:04,LIGHT
2025-05-06 09:54:14,LIGHT
2025-05-06 09:54:56,LIGHT
2025-05-06 09:55:18,SOUND
2025-05-06 09:55:49,SOUND
2025-05-06 09:56:18,SOUND
2025-05-06 09:56:23,SOUND
2025-05-06 09:56:39,SOUND
2025-05-06 09:57:00,SOUND
2025-05-06 09:58:52,SOUND
2025-05-06 10:01:41,SOUND
2025-05-06 10:02:22,LIGHT
2025-05-06 10:02:23,MOVEMENT
2025-05-06 10:02:26,LIGHT
2025-05-06 10:03:29,SOUND
2025-05-06 10:03:33,SOUND
2025-05-06 10:03:37,SOUND
2025-05-06 10:03:44,SOUND
2025-05-06 10:03:49,SOUND
2025-05-06 10:04:02,SOUND
2025-05-06 10:04:19,SOUND
2025-05-06 10:04:29,SOUND
2025-05-06 10:04:32,SOUND
2025-05-06 10:05:16,SOUND
2025-05-06 10:05:27,SOUND
2025-05-06 10:05:47,SOUND
2025-05-06 10:06:59,SOUND
2025-05-06 10:07:52,SOUND
2025-05-06 10:08:13,SOUND
2025-05-06 10:08:29,SOUND
