timestamp,sleep_event
2025-05-04 21:00:19,SOUND
2025-05-04 21:00:23,SOUND
2025-05-04 21:00:35,LIGHT
2025-05-04 21:00:42,LIGHT
2025-05-04 21:01:22,SOUND
2025-05-04 21:01:25,SOUND
2025-05-04 21:02:11,SOUND
2025-05-04 21:03:57,SOUND
2025-05-04 21:04:01,SOUND
2025-05-04 21:04:36,SOUND
2025-05-04 21:04:40,SOUND
2025-05-04 21:08:23,SOUND
2025-05-04 21:09:19,SOUND
2025-05-04 21:09:35,SOUND
2025-05-04 21:10:50,SOUND
2025-05-04 21:11:56,SOUND
2025-05-04 21:15:27,SOUND
2025-05-04 21:16:01,SOUND
2025-05-04 21:16:40,SOUND
2025-05-04 21:17:42,SOUND
2025-05-04 21:17:52,SOUND
2025-05-04 21:18:19,SOUND
2025-05-04 21:20:09,LIGHT
2025-05-04 21:20:12,SOUND
2025-05-04 21:20:13,LIGHT
2025-05-04 21:20:53,SOUND
2025-05-04 21:21:07,SOUND
2025-05-04 21:21:14,SOUND
2025-05-04 21:22:29,SOUND
2025-05-04 21:24:02,SOUND
2025-05-04 21:24:11,SOUND
2025-05-04 21:24:16,SOUND
2025-05-04 21:24:31,SOUND
2025-05-04 21:25:02,SOUND
2025-05-04 21:25:27,SOUND
2025-05-04 21:25:32,SOUND
2025-05-04 21:25:38,SOUND
2025-05-04 21:26:13,SOUND
2025-05-04 21:27:29,SOUND
2025-05-04 21:27:40,SOUND
2025-05-04 21:28:42,SOUND
2025-05-04 21:28:47,SOUND
2025-05-04 21:29:17,SOUND
2025-05-04 21:31:20,SOUND
2025-05-04 21:31:30,SOUND
2025-05-04 21:31:34,SOUND
2025-05-04 21:31:38,SOUND
2025-05-04 21:31:44,SOUND
2025-05-04 21:32:31,SOUND
2025-05-04 21:32:38,SOUND
2025-05-04 21:32:42,SOUND
2025-05-04 21:32:50,SOUND
2025-05-04 21:32:58,SOUND
2025-05-04 21:33:10,SOUND
2025-05-04 21:33:15,SOUND
2025-05-04 21:33:35,SOUND
2025-05-04 21:33:52,SOUND
2025-05-04 21:33:57,SOUND
2025-05-04 21:38:50,SOUND
2025-05-04 21:38:56,SOUND
2025-05-04 21:40:37,SOUND
2025-05-04 21:41:01,SOUND
2025-05-04 21:41:11,SOUND
2025-05-04 21:43:11,SOUND
2025-05-04 21:46:31,SOUND
2025-05-04 21:48:10,SOUND
2025-05-04 21:50:00,SOUND
2025-05-04 21:50:03,SOUND
2025-05-04 21:51:15,SOUND
2025-05-04 21:51:27,SOUND
2025-05-04 21:54:44,SOUND
2025-05-04 21:54:57,SOUND
2025-05-04 21:55:31,SOUND
2025-05-04 21:56:59,SOUND
2025-05-04 21:57:09,SOUND
2025-05-04 21:57:18,SOUND
2025-05-04 21:57:26,SOUND
2025-05-04 21:57:33,SOUND
2025-05-04 22:03:19,SOUND
2025-05-04 22:03:43,SOUND
2025-05-04 22:19:34,LIGHT
2025-05-04 22:19:41,LIGHT
2025-05-04 22:20:26,SOUND
2025-05-04 22:20:35,LIGHT
2025-05-04 22:44:42,SOUND
2025-05-04 23:01:51,SOUND
2025-05-04 23:15:13,SOUND
2025-05-05 03:49:25,SOUND
2025-05-05 08:00:02,SOUND
2025-05-05 08:00:47,SOUND
2025-05-05 08:23:07,SOUND
2025-05-05 08:28:50,SOUND
2025-05-05 08:31:33,SOUND
2025-05-05 08:33:28,SOUND
2025-05-05 12:32:11,SOUND
2025-05-05 12:32:46,LIGHT
