timestamp,temperature,humidity,heat_index,light,sound
2025-05-19 23:48:50,68.18,79.0,68.41,0,1148
2025-05-20 00:03:51,69.44,76.0,69.66,0,922
2025-05-20 00:18:53,69.98,77.0,70.3,0,752
2025-05-20 00:33:53,69.8,77.0,70.1,0,628
2025-05-20 00:48:54,69.8,78.0,70.15,0,528
2025-05-20 01:03:55,69.62,77.0,69.9,0,450
2025-05-20 01:18:56,69.44,77.0,69.7,0,395
2025-05-20 01:33:56,69.44,76.0,69.66,0,388
2025-05-20 01:48:57,69.62,76.0,69.85,0,348
2025-05-20 02:03:57,69.26,76.0,69.46,0,325
2025-05-20 02:18:58,69.08,76.0,69.26,0,309
2025-05-20 02:33:59,68.72,76.0,68.86,0,292
2025-05-20 02:49:00,68.9,76.0,69.06,0,276
2025-05-20 03:04:00,68.72,76.0,68.86,0,267
2025-05-20 03:19:01,68.18,77.0,68.32,0,257
2025-05-20 03:34:01,68.18,77.0,68.32,0,244
2025-05-20 03:49:02,68.0,77.0,68.12,0,237
2025-05-20 04:04:02,68.0,77.0,68.12,0,237
2025-05-20 04:19:03,67.82,77.0,67.92,0,232
2025-05-20 04:34:03,67.64,77.0,67.72,0,234
2025-05-20 04:49:04,67.46,77.0,67.53,0,229
2025-05-20 05:04:04,67.46,77.0,67.53,0,228
2025-05-20 05:19:05,67.28,76.0,67.28,0,226
2025-05-20 05:34:06,67.28,76.0,67.28,0,222
2025-05-20 05:49:07,66.92,76.0,66.88,0,224
2025-05-20 06:04:07,66.74,76.0,66.69,0,223
2025-05-20 06:19:08,66.74,76.0,66.69,0,222
2025-05-20 06:34:09,66.74,77.0,66.73,0,222
2025-05-20 06:49:09,66.74,77.0,66.73,0,227
2025-05-20 07:04:10,66.56,77.0,66.53,0,225
2025-05-20 07:19:11,66.56,77.0,66.53,0,220
2025-05-20 07:34:12,66.56,78.0,66.58,0,223
2025-05-20 07:49:13,66.56,80.0,66.68,0,225
2025-05-20 08:04:15,66.74,81.0,66.92,0,226
2025-05-20 08:19:16,66.74,81.0,66.92,0,222
2025-05-20 08:34:17,66.92,82.0,67.17,0,221
2025-05-20 08:49:18,67.28,82.0,67.56,26,334
2025-05-20 09:04:18,67.64,81.0,67.91,29,302
2025-05-20 09:19:19,67.82,81.0,68.11,30,282
2025-05-20 09:34:21,68.0,80.0,68.26,29,268
2025-05-20 09:49:21,68.54,79.0,68.81,29,254
2025-05-20 10:04:22,69.44,81.0,69.89,30,329
2025-05-20 10:19:23,69.98,81.0,70.49,31,303
2025-05-20 10:34:23,70.16,81.0,70.68,31,279
2025-05-20 10:49:24,70.34,78.0,70.74,28,265
2025-05-20 11:04:25,70.7,76.0,71.04,30,251
2025-05-20 11:19:26,71.06,73.0,71.3,35,239
2025-05-20 11:34:27,71.42,71.0,71.6,37,238
