timestamp,sleep_event
2025-05-19 23:34:22,SOUND
2025-05-19 23:34:41,LIGHT
2025-05-19 23:34:44,LIGHT
2025-05-19 23:34:50,MOVEMENT
2025-05-19 23:37:26,SOUND
2025-05-19 23:37:58,LIGHT
2025-05-19 23:38:50,LIGHT
2025-05-20 01:29:02,SOUND
2025-05-20 01:31:02,SOUND
2025-05-20 01:32:47,SOUND
2025-05-20 02:11:52,SOUND
2025-05-20 02:12:24,SOUND
2025-05-20 02:19:47,MOVEMENT
2025-05-20 02:20:13,MOVEMENT
2025-05-20 02:20:18,MOVEMENT
2025-05-20 02:20:23,MOVEMENT
2025-05-20 02:20:54,MOVEMENT
2025-05-20 02:20:58,MOVEMENT
2025-05-20 02:21:18,MOVEMENT
2025-05-20 02:21:59,MOVEMENT
2025-05-20 02:22:03,MOVEMENT
2025-05-20 02:22:06,MOVEMENT
2025-05-20 02:22:11,MOVEMENT
2025-05-20 02:22:15,MOVEMENT
2025-05-20 02:22:19,MOVEMENT
2025-05-20 02:22:23,MOVEMENT
2025-05-20 02:22:28,MOVEMENT
2025-05-20 02:22:31,MOVEMENT
2025-05-20 02:22:35,MOVEMENT
2025-05-20 02:22:40,MOVEMENT
2025-05-20 02:22:49,MOVEMENT
2025-05-20 02:22:54,MOVEMENT
2025-05-20 02:22:57,MOVEMENT
2025-05-20 02:23:09,MOVEMENT
2025-05-20 02:23:13,MOVEMENT
2025-05-20 02:23:18,MOVEMENT
2025-05-20 02:23:22,MOVEMENT
2025-05-20 02:23:27,MOVEMENT
2025-05-20 02:23:31,MOVEMENT
2025-05-20 02:23:34,MOVEMENT
2025-05-20 02:23:49,MOVEMENT
2025-05-20 02:23:55,MOVEMENT
2025-05-20 02:23:58,MOVEMENT
2025-05-20 02:24:02,MOVEMENT
2025-05-20 02:24:35,MOVEMENT
2025-05-20 08:34:44,SOUND
2025-05-20 08:56:54,SOUND
2025-05-20 10:01:17,SOUND
2025-05-20 11:42:36,SOUND
2025-05-20 11:42:42,SOUND
2025-05-20 11:42:55,SOUND
2025-05-20 11:43:03,SOUND
2025-05-20 11:43:18,LIGHT
2025-05-20 11:43:20,SOUND
2025-05-20 11:43:26,LIGHT
2025-05-20 11:45:12,LIGHT
