timestamp,sleep_event
2025-05-23 21:45:43,SOUND
2025-05-23 21:49:06,SOUND
2025-05-23 21:51:35,SOUND
2025-05-23 21:51:43,SOUND
2025-05-23 21:51:50,MOVEMENT
2025-05-23 21:52:34,SOUND
2025-05-24 10:55:02,LIGHT
2025-05-24 10:55:10,LIGHT
2025-05-24 10:56:07,SOUND
2025-05-24 10:59:27,LIGHT
2025-05-24 11:46:57,SOUND
2025-05-24 11:47:05,SOUND
2025-05-24 11:51:02,SOUND
2025-05-24 12:35:01,SOUND
2025-05-24 12:35:09,SOUND
2025-05-24 12:35:53,LIGHT
2025-05-24 12:36:50,LIGHT
2025-05-24 12:37:48,SOUND
2025-05-24 12:42:16,SOUND
2025-05-24 12:42:34,LIGHT
2025-05-24 12:58:04,SOUND
2025-05-24 13:00:58,SOUND
2025-05-24 13:01:01,SOUND
2025-05-24 13:27:12,SOUND
2025-05-24 13:28:42,SOUND
2025-05-24 13:42:05,SOUND
2025-05-24 13:42:11,SOUND
2025-05-24 13:51:19,LIGHT
2025-05-24 13:56:09,SOUND
2025-05-24 13:56:19,SOUND
2025-05-24 13:56:31,SOUND
2025-05-24 13:56:44,SOUND
2025-05-24 13:57:07,SOUND
2025-05-24 14:06:47,LIGHT
2025-05-24 14:06:59,LIGHT
2025-05-24 14:25:18,SOUND
2025-05-24 14:26:16,LIGHT
2025-05-24 14:28:45,LIGHT
2025-05-24 14:30:31,SOUND
2025-05-24 14:31:38,SOUND
2025-05-24 14:31:59,SOUND
2025-05-24 14:32:19,SOUND
2025-05-24 14:42:33,SOUND
2025-05-24 14:43:38,LIGHT
2025-05-24 14:46:27,SOUND
2025-05-24 14:46:32,LIGHT
2025-05-24 15:04:12,SOUND
2025-05-24 15:13:36,SOUND
2025-05-24 15:50:31,LIGHT
